Measurement,Left CP,Right CP,Combined CR,Left CR,Right CR
210,23,25,8.895833333333334,18.565217391304348,17.08
211,26,34,7.116666666666666,16.423076923076923,12.558823529411764
212,29,31,7.116666666666666,14.724137931034482,13.774193548387096
213,34,43,5.545454545454546,12.558823529411764,9.930232558139535
214,24,37,7.0,17.791666666666668,11.54054054054054
215,29,31,7.116666666666666,14.724137931034482,13.774193548387096
216,24,30,7.907407407407407,17.791666666666668,14.233333333333333
217,33,32,6.569230769230769,12.93939393939394,13.34375
218,33,32,6.569230769230769,12.93939393939394,13.34375
219,44,38,5.2073170731707314,9.704545454545455,11.236842105263158
220,56,47,4.145631067961165,7.625,9.085106382978724
221,47,42,4.797752808988764,9.085106382978724,10.166666666666666
222,66,36,4.186274509803922,6.46969696969697,11.86111111111111
223,80,38,3.6186440677966103,5.3375,11.236842105263158
224,93,45,3.0942028985507246,4.591397849462366,9.488888888888889
225,105,37,3.007042253521127,4.066666666666666,11.54054054054054
226,95,35,3.2846153846153845,4.494736842105263,12.2
227,103,27,3.2846153846153845,4.145631067961165,15.814814814814815
228,81,30,3.8468468468468466,5.271604938271605,14.233333333333333
229,60,23,5.144578313253012,7.116666666666666,18.565217391304348
230,48,24,5.930555555555555,8.895833333333334,17.791666666666668
231,31,18,8.714285714285714,13.774193548387096,23.72222222222222
232,24,24,8.895833333333334,17.791666666666668,17.791666666666668
233,26,43,6.188405797101449,16.423076923076923,9.930232558139535
234,29,37,6.46969696969697,14.724137931034482,11.54054054054054
235,33,51,5.083333333333333,12.93939393939394,8.372549019607844
236,22,42,6.671875,19.40909090909091,10.166666666666666
237,25,40,6.569230769230769,17.08,10.675
238,26,37,6.777777777777778,16.423076923076923,11.54054054054054
239,31,32,6.777777777777778,13.774193548387096,13.34375
240,37,39,5.618421052631579,11.54054054054054,10.948717948717949
241,37,42,5.405063291139241,11.54054054054054,10.166666666666666
242,58,74,3.234848484848485,7.362068965517241,5.77027027027027
243,51,39,4.7444444444444445,8.372549019607844,10.948717948717949
244,64,34,4.357142857142857,6.671875,12.558823529411764
245,86,32,3.6186440677966103,4.965116279069767,13.34375
246,104,35,3.0719424460431655,4.105769230769231,12.2
247,114,39,2.7908496732026142,3.745614035087719,10.948717948717949
248,97,27,3.443548387096774,4.402061855670103,15.814814814814815
249,95,27,3.5,4.494736842105263,15.814814814814815
250,77,36,3.7787610619469025,5.545454545454546,11.86111111111111
251,67,24,4.6923076923076925,6.373134328358209,17.791666666666668
252,52,23,5.693333333333333,8.211538461538462,18.565217391304348
253,30,18,8.895833333333334,14.233333333333333,23.72222222222222
254,25,27,8.211538461538462,17.08,15.814814814814815
255,27,40,6.373134328358209,15.814814814814815,10.675
256,31,31,6.887096774193548,13.774193548387096,13.774193548387096
257,30,51,5.271604938271605,14.233333333333333,8.372549019607844
258,20,46,6.46969696969697,21.35,9.282608695652174
259,26,39,6.569230769230769,16.423076923076923,10.948717948717949
260,27,46,5.8493150684931505,15.814814814814815,9.282608695652174
261,27,41,6.279411764705882,15.814814814814815,10.414634146341463
262,33,49,5.2073170731707314,12.93939393939394,8.714285714285714
263,37,37,5.77027027027027,11.54054054054054,11.54054054054054
264,59,86,2.9448275862068964,7.237288135593221,4.965116279069767
265,52,37,4.797752808988764,8.211538461538462,11.54054054054054
266,72,35,3.9906542056074765,5.930555555555555,12.2
267,81,30,3.8468468468468466,5.271604938271605,14.233333333333333
268,105,33,3.0942028985507246,4.066666666666666,12.93939393939394
269,95,37,3.234848484848485,4.494736842105263,11.54054054054054
270,94,30,3.443548387096774,4.542553191489362,14.233333333333333
271,83,27,3.881818181818182,5.144578313253012,15.814814814814815
272,72,31,4.145631067961165,5.930555555555555,13.774193548387096
273,64,23,4.908045977011494,6.671875,18.565217391304348
274,53,22,5.693333333333333,8.056603773584905,19.40909090909091
275,30,19,8.714285714285714,14.233333333333333,22.473684210526315
276,25,30,7.763636363636364,17.08,14.233333333333333
277,24,45,6.188405797101449,17.791666666666668,9.488888888888889
278,28,37,6.569230769230769,15.25,11.54054054054054
279,29,46,5.693333333333333,14.724137931034482,9.282608695652174
280,21,58,5.405063291139241,20.333333333333332,7.362068965517241
281,20,56,5.618421052631579,21.35,7.625
282,27,46,5.8493150684931505,15.814814814814815,9.282608695652174
283,23,48,6.014084507042254,18.565217391304348,8.895833333333334
284,30,46,5.618421052631579,14.233333333333333,9.282608695652174
285,35,48,5.144578313253012,12.2,8.895833333333334
286,60,70,3.2846153846153845,7.116666666666666,6.1
287,54,34,4.8522727272727275,7.907407407407407,12.558823529411764
288,57,36,4.591397849462366,7.491228070175438,11.86111111111111
289,97,29,3.388888888888889,4.402061855670103,14.724137931034482
290,93,34,3.3622047244094486,4.591397849462366,12.558823529411764
291,97,27,3.443548387096774,4.402061855670103,15.814814814814815
292,86,28,3.745614035087719,4.965116279069767,15.25
293,97,26,3.4715447154471546,4.402061855670103,16.423076923076923
294,77,29,4.028301886792453,5.545454545454546,14.724137931034482
295,62,22,5.083333333333333,6.887096774193548,19.40909090909091
296,50,22,5.930555555555555,8.54,19.40909090909091
297,27,20,9.085106382978724,15.814814814814815,21.35
298,24,25,8.714285714285714,17.791666666666668,17.08
299,24,38,6.887096774193548,17.791666666666668,11.236842105263158
300,27,40,6.373134328358209,15.814814814814815,10.675
301,25,42,6.373134328358209,17.08,10.166666666666666
302,20,65,5.023529411764706,21.35,6.569230769230769
303,19,56,5.693333333333333,22.473684210526315,7.625
304,23,58,5.271604938271605,18.565217391304348,7.362068965517241
305,22,47,6.188405797101449,19.40909090909091,9.085106382978724
306,37,45,5.2073170731707314,11.54054054054054,9.488888888888889
307,35,65,4.27,12.2,6.569230769230769
308,51,82,3.210526315789474,8.372549019607844,5.2073170731707314
309,62,35,4.402061855670103,6.887096774193548,12.2
310,81,36,3.6495726495726495,5.271604938271605,11.86111111111111
311,97,30,3.3622047244094486,4.402061855670103,14.233333333333333
312,90,30,3.558333333333333,4.7444444444444445,14.233333333333333
313,101,32,3.210526315789474,4.227722772277228,13.34375
314,104,26,3.2846153846153845,4.105769230769231,16.423076923076923
315,99,25,3.443548387096774,4.313131313131313,17.08
316,85,28,3.7787610619469025,5.023529411764706,15.25
317,65,23,4.8522727272727275,6.569230769230769,18.565217391304348
318,54,23,5.545454545454546,7.907407407407407,18.565217391304348
319,30,20,8.54,14.233333333333333,21.35
320,24,31,7.763636363636364,17.791666666666668,13.774193548387096
321,25,47,5.930555555555555,17.08,9.085106382978724
322,27,51,5.4743589743589745,15.814814814814815,8.372549019607844
323,23,45,6.279411764705882,18.565217391304348,9.488888888888889
324,21,62,5.144578313253012,20.333333333333332,6.887096774193548
325,20,65,5.023529411764706,21.35,6.569230769230769
326,26,50,5.618421052631579,16.423076923076923,8.54
327,24,56,5.3375,17.791666666666668,7.625
328,31,64,4.494736842105263,13.774193548387096,6.671875
329,37,81,3.6186440677966103,11.54054054054054,5.271604938271605
330,51,94,2.9448275862068964,8.372549019607844,4.542553191489362
331,55,38,4.591397849462366,7.763636363636364,11.236842105263158
332,91,32,3.4715447154471546,4.6923076923076925,13.34375
333,80,36,3.6810344827586206,5.3375,11.86111111111111
334,99,32,3.2595419847328246,4.313131313131313,13.34375
335,98,32,3.2846153846153845,4.357142857142857,13.34375
336,110,26,3.139705882352941,3.881818181818182,16.423076923076923
337,88,32,3.558333333333333,4.8522727272727275,13.34375
338,77,27,4.105769230769231,5.545454545454546,15.814814814814815
339,55,23,5.4743589743589745,7.763636363636364,18.565217391304348
340,50,22,5.930555555555555,8.54,19.40909090909091
341,29,17,9.282608695652174,14.724137931034482,25.11764705882353
342,24,34,7.362068965517241,17.791666666666668,12.558823529411764
343,26,53,5.405063291139241,16.423076923076923,8.056603773584905
344,26,63,4.797752808988764,16.423076923076923,6.777777777777778
345,23,47,6.1,18.565217391304348,9.085106382978724
346,21,72,4.591397849462366,20.333333333333332,5.930555555555555
347,19,90,3.9174311926605503,22.473684210526315,4.7444444444444445
348,26,65,4.6923076923076925,16.423076923076923,6.569230769230769
349,24,70,4.542553191489362,17.791666666666668,6.1
350,35,75,3.881818181818182,12.2,5.693333333333333
351,37,86,3.4715447154471546,11.54054054054054,4.965116279069767
352,51,100,2.827814569536424,8.372549019607844,4.27
353,58,36,4.542553191489362,7.362068965517241,11.86111111111111
354,76,29,4.066666666666666,5.618421052631579,14.724137931034482
355,95,36,3.2595419847328246,4.494736842105263,11.86111111111111
356,93,31,3.443548387096774,4.591397849462366,13.774193548387096
357,115,28,2.986013986013986,3.7130434782608694,15.25
358,84,25,3.9174311926605503,5.083333333333333,17.08
359,92,22,3.745614035087719,4.641304347826087,19.40909090909091
360,74,26,4.27,5.77027027027027,16.423076923076923
361,53,25,5.4743589743589745,8.056603773584905,17.08
362,51,22,5.8493150684931505,8.372549019607844,19.40909090909091
363,32,17,8.714285714285714,13.34375,25.11764705882353
364,24,28,8.211538461538462,17.791666666666668,15.25
365,27,48,5.693333333333333,15.814814814814815,8.895833333333334
366,26,75,4.227722772277228,16.423076923076923,5.693333333333333
367,27,68,4.494736842105263,15.814814814814815,6.279411764705882
368,22,90,3.8125,19.40909090909091,4.7444444444444445
369,20,67,4.908045977011494,21.35,6.373134328358209
370,26,61,4.908045977011494,16.423076923076923,7.0
371,27,84,3.8468468468468466,15.814814814814815,5.083333333333333
372,38,82,3.558333333333333,11.236842105263158,5.2073170731707314
373,37,98,3.162962962962963,11.54054054054054,4.357142857142857
374,46,100,2.9246575342465753,9.282608695652174,4.27
